timestamp,bandwidth_bps,pop_ping_latency_ms,downlink_troughput_bps
1691170035,13727320,32.809525,12910420.0
1691170036,13289472,33.9,13412310.0
1691170037,14392192,34.05,13631203.0
1691170038,15263200,33.42857,15076627.0
1691170039,16609304,33.38095,16365721.0
1691170040,16752568,33.8,16972638.0
1691170041,17746160,33.0,16835316.0
1691170042,20872248,32.5,18559544.0
1691170043,29229392,33.4,25221718.0
1691170044,37067192,33.52381,33540608.0
1691170045,39563312,34.57143,38200100.0
1691170046,27833640,35.190475,35809668.0
1691170048,29701896,29.35,25411090.0
1691170049,24880264,21.6,33270864.0
1691170050,25607512,21.47619,23207730.0
1691170051,21401448,22.142857,24791322.0
1691170052,22433504,22.35,21273116.0
1691170053,17747352,22.714285,22610134.0
1691170054,19794280,21.7,18510688.0
1691170055,20955432,22.380953,18971860.0
1691170056,18643736,24.047619,17788034.0
1691170057,20907392,23.571428,21210628.0
1691170058,18279752,22.333334,18991960.0
1691170059,20035992,21.952381,18946594.0
1691170060,26928936,21.142857,22354566.0
1691170061,26865952,21.047619,23504686.0
1691170062,22506704,37.15,28374818.0
1691170063,27280024,53.9,22314050.0
1691170065,29653448,52.190475,31006250.0
1691170066,26309872,53.35,25833432.0
1691170067,20713328,57.0,26515718.0
1691170068,16087480,57.47619,17647610.0
1691170069,17395440,57.142857,16766747.0
1691170070,19975432,55.0,18301510.0
1691170071,23197752,53.61905,21903670.0
1691170072,20170440,56.809525,19373372.0
1691170073,18376648,57.0,18649856.0
1691170074,19855368,52.714287,18641902.0
1691170075,18656280,49.8,20615114.0
1691170076,17233240,51.68182,17644606.0
1691170077,15888696,48.61905,13684001.0
1691170078,17973768,35.0,16830718.0
1691170079,13072648,26.85,16282204.0
1691170080,16052200,28.238094,14044845.0
1691170081,15240696,30.0,16768349.0
1691170082,13205880,29.85,11748698.0
1691170083,15894216,28.666666,15988637.0
1691170084,16730952,27.0,13775235.0
1691170086,19684216,25.52381,18765434.0
1691170087,19539928,25.190475,19234876.0
1691170088,17383464,27.52381,19217530.0
1691170089,9316872,27.333334,15785683.0
1691170090,8433224,27.857143,8612886.0
1691170091,9099248,30.8,8444845.0
1691170092,9072896,28.666666,8793727.0
1691170093,10807704,28.428572,9700964.0
1691170094,12248896,28.40909,11688871.0
1691170095,14246456,25.52381,14048326.0
1691170096,14973864,24.85,14437675.0
1691170097,21744840,24.52381,17302502.0
1691170098,18473016,23.52381,19257794.0
1691170099,20653568,23.6,19811492.0
1691170100,21816984,25.4,20947914.0
1691170101,18245000,27.142857,21516930.0
1691170102,17759464,25.428572,15335147.0
1691170104,18761592,27.285715,19308864.0
1691170105,23302400,26.666666,17917698.0
1691170106,21310528,24.0,23583522.0
1691170107,18405320,25.904762,20571442.0
1691170108,23422544,24.333334,23347844.0
1691170109,24149608,23.809525,22821996.0
1691170110,24601024,24.0,24637476.0
1691170111,15143272,22.45,15661909.0
1691170112,10250024,24.333334,10796986.0
1691170113,10733976,26.666666,9564347.0
1691170114,5780696,24.8,7376002.5
1691170115,8674800,24.285715,6743115.5
1691170116,9644424,24.55,7886432.5
1691170117,10093096,23.7,10586306.0
1691170118,7972440,26.142857,6560982.0
1691170120,5223544,28.285715,7853935.0
1691170121,5854056,27.666666,4575415.0
1691170122,4508936,25.15,5142820.5
1691170123,4254584,35.6,3799485.8
1691170124,4763816,43.857143,4148368.0
1691170125,5453768,42.2,4514245.5
1691170126,4266696,43.809525,4115879.0
1691170127,5319912,40.61905,4445744.0
1691170128,4835296,38.7,4561976.5
1691170129,5152088,41.714287,4880416.5
1691170130,6640648,40.6,6342685.0
1691170131,6228264,45.4,5493951.0
1691170132,6543752,47.95,6522277.0
1691170133,7296280,43.095238,6032013.0
1691170134,10600744,41.095238,9543367.0
1691170135,14937368,40.95,13065265.0
1691170136,13229048,41.190475,14405203.0
1691170137,12502856,43.238094,13140838.0
1691170138,8396888,45.666668,8843682.0
1691170139,9944584,43.842106,8602249.0
1691170140,10127320,43.4,9451713.0
1691170142,10046416,44.857143,9737714.0
1691170143,8985432,45.809525,10716287.0
1691170144,7343808,43.95238,7412493.0
1691170145,8131640,41.15,7086973.0
1691170146,7452800,42.05,8132260.5
1691170147,8601600,51.473682,8028007.0
1691170148,9849800,54.47619,9270335.0
1691170149,9747080,47.61905,9799303.0
1691170150,11352264,42.142857,10535454.0
1691170151,12792880,43.666668,12533923.0
1691170152,13010896,49.6,13915476.0
1691170153,6471080,48.0,5980406.5
1691170154,5596904,41.57143,5133526.0
1691170155,8129896,36.75,6765504.5
1691170156,6700680,35.65,6498034.0
1691170157,4011816,37.04762,5017788.5
1691170158,4278144,38.285713,3653935.0
1691170160,3648456,46.52381,3712621.8
1691170161,4072240,50.0,2705695.2
1691170162,4314088,40.857143,3775100.0
1691170163,4012872,42.6,4014485.8
1691170164,4980776,44.714287,3774219.2
1691170165,6109568,41.35,4874528.0
1691170166,5537928,41.04762,4950688.0
1691170167,9097256,40.61905,8827198.0
1691170168,16146968,36.095238,15501846.0
1691170169,23318736,34.05,22213134.0
1691170170,30671528,33.47619,28623608.0
1691170171,33578360,33.2,35868380.0
1691170172,23755960,32.45,24830304.0
1691170173,25850280,34.25,25900598.0
1691170174,20254008,34.85,20755798.0
1691170175,21624912,34.61905,20752828.0
1691170176,16666856,35.04762,20054872.0
1691170177,18604824,35.1,16172733.0
1691170178,17285496,35.5,16937740.0
1691170179,18910496,35.57143,19076534.0
1691170181,19430392,34.42857,18122178.0
1691170182,15361816,33.75,17836512.0
1691170183,15163664,48.35,13979447.0
1691170184,16615944,51.857143,15122144.0
1691170185,17150696,49.47619,17306176.0
1691170186,16778392,48.52381,17191966.0
1691170187,14587312,49.3,12934411.0
1691170188,15635400,48.666668,14758456.0
1691170189,15526496,50.35,16445061.0
1691170190,16911624,52.55,15770222.0
1691170191,17807384,52.6,16811190.0
1691170192,16923736,52.75,17450000.0
1691170193,13374920,56.04762,15321222.0
1691170194,15773096,57.47619,13594494.0
1691170195,16524040,57.38095,16091665.0
1691170197,17722072,57.42857,16521078.0
1691170198,16827368,54.45,16185635.0
1691170199,17130168,49.35,17824148.0
1691170200,18182856,47.666668,16704873.0
1691170201,18567104,46.761906,17864144.0
1691170202,17126968,45.6,19015884.0
1691170203,21174520,46.4,22472434.0
1691170204,28091000,44.904762,27399408.0
1691170205,22822416,43.809525,22146966.0
1691170206,26492216,43.3,25877580.0
1691170207,25885952,43.095238,27292982.0
1691170208,21962328,41.190475,21952686.0
1691170209,23367848,42.857143,22986992.0
1691170210,24517960,45.95238,24456366.0
1691170211,20399904,46.333332,23920518.0
1691170212,15469768,56.25,15785146.0
1691170213,17125808,77.0,15388960.0
1691170214,18506048,82.05,16577315.0
1691170215,19075976,82.71429,18931788.0
1691170216,19476416,82.05,17991332.0
1691170218,18885352,81.61905,17851126.0
1691170219,18603568,82.09524,19011102.0
1691170220,18863904,84.190475,18320242.0
1691170221,20443336,83.666664,19166140.0
1691170222,22907064,83.2381,20368732.0
1691170223,27292088,83.6,25251724.0
1691170224,27765192,83.85714,29966842.0
1691170225,35806344,85.809525,33542058.0
1691170226,42334712,88.0,42141164.0
1691170227,48922976,79.77273,49023010.0
1691170228,65989976,48.772728,61619560.0
1691170229,69332888,23.095238,74490200.0
1691170230,31662984,24.85,46337396.0
1691170231,33820112,24.3,27178376.0
1691170232,31530808,22.285715,34265348.0
1691170233,32135744,20.952381,30135260.0
1691170234,24965440,19.8,32650392.0
1691170235,25450192,20.7,21282016.0
1691170236,28260568,21.4,27195708.0
1691170237,29653496,20.6,27827202.0
1691170238,26467512,22.714285,29049146.0
1691170240,21859400,24.714285,25667832.0
1691170241,27856936,24.428572,21793746.0
1691170242,27194712,21.85,28802940.0
1691170243,19321776,26.526316,24392126.0
1691170244,26616008,29.9,20236224.0
1691170245,36144816,24.428572,30375360.0
1691170246,26382728,23.857143,25978228.0
1691170247,31251704,23.45,32132210.0
1691170248,32984776,22.473684,33009962.0
1691170249,30271688,23.0,31305866.0
1691170250,33106472,24.65,30705686.0
1691170251,34765768,24.285715,29928548.0
1691170252,38676224,24.4,36829344.0
1691170253,43231528,23.333334,38711970.0
1691170254,50983208,23.1,48765010.0
1691170256,55367224,23.47619,54822212.0
1691170257,51478744,24.65,51265836.0
1691170258,52291968,28.285715,51509896.0
1691170259,62309912,29.333334,56658740.0
1691170260,65315288,25.857143,63290830.0
1691170261,54180248,26.5,52030210.0
1691170262,55173960,26.952381,53406710.0
1691170263,41582712,25.333334,43576436.0
1691170264,43558024,25.7,43861412.0
1691170265,41632744,26.2,44208836.0
1691170266,36690616,26.428572,31258948.0
1691170267,39967544,25.85,37021308.0
1691170268,42794304,25.0,43446884.0
1691170269,41450352,25.952381,42138588.0
1691170270,42408072,25.47619,43798716.0
1691170271,35139656,24.809525,38672724.0
1691170272,10698168,30.45,26107026.0
1691170274,9535944,34.65,6006210.0
1691170275,8937128,34.1,13072354.0
1691170276,5308328,33.8,5874534.0
1691170277,5644488,36.0,5443946.5
1691170278,5785976,39.238094,5650264.5
1691170279,6531112,35.190475,5232109.0
1691170280,7124072,32.61905,6742142.5
1691170281,6362072,34.55,6115186.0
1691170282,8068808,35.0,6419063.5
1691170283,7992200,38.238094,7412493.0
1691170284,5950792,38.142857,7376002.5
1691170285,5562152,36.0,4268149.0
1691170286,4325672,35.5,5100349.0
1691170287,2897904,37.0,2316321.2
1691170288,1863528,40.666668,1942289.9
1691170290,2639992,40.47619,1472880.1
1691170291,1755816,38.42857,1657807.0
1691170292,2909488,39.61905,1734839.6
1691170293,3830664,38.57143,3142792.0
1691170294,2735592,39.45,2292740.8
1691170295,2959800,39.7,2535658.0
1691170296,3987184,40.95238,3383318.5
1691170297,3926504,41.285713,3444773.5
1691170298,2534680,39.333332,1993787.6
1691170299,2349304,38.04762,2165611.5
1691170300,2437784,38.38095,1607492.1
1691170301,1941144,40.904762,1709413.8
1691170302,2255048,36.333332,1596058.5
1691170304,3019024,30.25,1955082.5
1691170305,3636872,31.5,2591895.2
1691170306,3262840,32.3,3103281.8
1691170307,3588424,31.666666,2911862.0
1691170308,4339368,30.0,3272228.2
1691170309,6494936,27.619047,5090190.5
1691170310,6466720,29.4,5890631.5
1691170311,5974488,30.5,5648578.0
1691170312,5998184,31.380953,5291576.0
1691170313,9972072,31.761906,8057577.0
1691170314,14331768,31.952381,11672144.0
1691170315,19390224,32.095238,14846234.0
1691170316,23633784,30.714285,19810470.0
1691170318,23355368,39.95,23530892.0
1691170319,33492424,44.52381,25826016.0
1691170320,30489040,39.95238,35114620.0
1691170321,17213896,41.7,26339256.0
1691170322,16439256,42.61905,17266188.0
1691170323,22010776,42.095238,21397912.0
1691170324,22919040,41.04762,23541806.0
1691170325,23525304,39.65,22753126.0
1691170326,11964328,42.75,10587698.0
1691170327,14646680,42.333332,14095563.0
1691170328,7487432,44.142857,10883145.0
1691170329,7305616,43.85,5206842.5
1691170330,8033000,39.904762,7077267.0
1691170331,9401520,40.904762,7715120.0
1691170333,6531640,50.85,7852114.5
1691170334,7439512,57.714287,6355092.0
1691170335,7901168,51.285713,6775571.0
1691170336,8312104,50.809525,8364558.0
1691170337,8530120,51.75,7726302.0
1691170338,8917176,47.857143,8562890.0
1691170339,9244728,45.5,9064830.0
1691170340,9196280,46.95,8697300.0
1691170341,9046136,48.333332,8408363.0
1691170342,9911048,47.5,9476761.0
1691170343,10456456,44.47619,9869357.0
1691170344,9220368,45.142857,10111158.0
1691170345,8384776,45.61905,7635487.0
1691170346,9886664,54.904762,7221115.0
1691170347,9098856,53.857143,10018632.0
1691170348,8893480,37.0,7425394.5
1691170349,9389544,30.857143,10501103.0
1691170351,8711800,33.761906,8190704.0
1691170352,10431176,36.95238,8290201.0
1691170353,10152464,36.8,9958049.0
1691170354,10236720,37.45,9928320.0
1691170355,10661304,37.857143,9929998.0
1691170356,12086688,38.285713,12111489.0
1691170357,13883496,38.238094,12276426.0
1691170358,14951864,36.666668,15772781.0
1691170359,14181432,34.6,13321462.0
1691170360,10709184,33.761906,11413943.0
1691170361,8833312,34.45,8408967.0
1691170362,8057616,35.190475,8639176.0
1691170363,8699160,35.714287,7757130.5
1691170364,9389016,33.090908,8707291.0
1691170365,10953208,30.0,10390121.0
1691170366,11327856,29.857143,10755202.0
1691170367,11364280,31.2,11013924.0
1691170368,11909896,29.35,10534699.0
1691170369,12138832,30.571428,10918436.0
1691170370,19152344,30.55,15682469.0
1691170372,21695864,28.1,20316420.0
1691170373,33462192,27.857143,23502446.0
1691170374,44670744,26.4,36983350.0
1691170375,49517288,31.52381,46705110.0
1691170376,64669240,35.5,51322216.0
1691170377,47918872,34.238094,67741384.0
1691170378,50443192,31.904762,49846116.0
1691170379,42887400,28.190475,39323850.0
1691170380,38492952,29.047619,39705396.0
1691170381,33735720,30.380953,32701386.0
1691170382,29410152,30.3,31656728.0
1691170383,28867360,29.2,28403524.0
1691170384,29651864,28.8,30729568.0
1691170385,30136872,28.1,29349264.0
1691170386,30915464,28.52381,31168830.0
1691170387,28793496,29.47619,31783764.0
