62.115.114.88   , 13 ,ffm-bb1-link.ip.twelve99.net                    , 1299
62.115.123.13   ,  7 ,prs-bb1-link.ip.twelve99.net                    , 1299
62.115.112.242  ,  9 ,ash-bb2-link.ip.twelve99.net                    , 1299
62.115.136.200  ,  9 ,nyk-bb2-link.ip.twelve99.net                    , 1299
62.115.123.109  ,  7 ,toro-b2-link.ip.twelve99.net                    , 1299
62.115.117.228  ,  5 ,toro-b5-link.ip.twelve99.net                    , 1299
140.91.202.11   ,  3 ,???                                             ,31898
206.224.65.208  , 26 ,undefined.hostname.localhost                    ,14593
206.224.65.184  , 20 ,undefined.hostname.localhost                    ,14593
62.115.189.7    , 13 ,bhartiairtel-ic-354139.ip.twelve99-cust.net     , 1299
116.119.81.96   ,  3 ,???                                             , 9498
206.224.65.178  , 18 ,undefined.hostname.localhost                    ,14593
62.115.124.116  , 15 ,ffm-bb1-link.ip.twelve99.net                    , 1299
62.115.124.59   ,  9 ,mei-b5-link.ip.twelve99.net                     , 1299
116.119.81.84   ,  2 ,???                                             , 9498
62.115.143.28   ,  3 ,s-bb1-link.ip.twelve99.net                      , 1299
62.115.136.81   ,  2 ,s-b5-link.ip.twelve99.net                       , 1299
62.115.138.104  ,  5 ,s-bb2-link.ip.twelve99.net                      , 1299
62.115.112.11   ,  2 ,s-b5-link.ip.twelve99.net                       , 1299
116.119.81.92   ,  3 ,???                                             , 9498
140.91.228.25   ,  3 ,???                                             ,31898
62.115.118.63   ,  4 ,prs-b3-link.ip.twelve99.net                     , 1299
140.204.198.33  ,  2 ,???                                             ,31898
206.224.65.192  , 21 ,undefined.hostname.localhost                    ,14593
140.91.240.3    ,  2 ,???                                             ,31898
62.115.138.248  ,  3 ,ldn-bb1-link.ip.twelve99.net                    , 1299
62.115.135.25   ,  3 ,prs-bb1-link.ip.twelve99.net                    , 1299
62.115.135.133  ,  3 ,nyk-b1-link.ip.twelve99.net                     , 1299
62.115.135.130  ,  3 ,nyk-bb1-link.ip.twelve99.net                    , 1299
62.115.137.143  ,  4 ,motl-b2-link.ip.twelve99.net                    , 1299
62.115.126.220  ,  4 ,motl-b1-link.ip.twelve99.net                    , 1299
140.91.226.35   ,  2 ,???                                             ,31898
140.91.198.19   ,  2 ,???                                             ,31898
140.91.198.134  ,  2 ,???                                             ,31898
93.186.129.75   ,  3 ,ae0.catania8.cat.seabone.net                    , 6762
93.186.129.49   ,  4 ,itc-sa.catania8.cat.seabone.net                 , 6762
87.101.255.133  ,  4 ,???                                             ,35753
62.115.122.159  , 20 ,rest-bb1-link.ip.twelve99.net                   , 1299
